epoch, IS 
0, 1.333
1, 1.349
2, 1.425
3, 1.436
4, 1.462
5, 1.642
6, 1.503
7, 1.499
8, 1.513
9, 1.597
10, 1.41
11, 1.491
12, 1.643
13, 1.533
14, 1.561
15, 1.511
16, 1.587
17, 1.646
18, 1.697
19, 1.768
20, 1.622
21, 1.608
22, 1.602
23, 1.53
24, 1.571
25, 1.626
26, 1.609
27, 1.717
28, 1.574
29, 1.707
30, 1.614
31, 1.84
32, 1.649
33, 1.572
34, 1.73
35, 1.628
36, 1.755
37, 1.761
38, 1.699
39, 1.777
40, 1.64
41, 1.669
42, 1.729
43, 1.632
44, 1.708
45, 1.538
46, 1.683
47, 1.555
48, 1.576
49, 1.77
