epoch, IS 
0, 2.718
1, 2.639
2, 3.146
3, 3.529
4, 3.566
5, 3.555
6, 3.965
7, 3.906
8, 4.132
9, 4.415
10, 4.715
11, 4.889
12, 4.712
13, 4.864
14, 4.952
15, 4.851
16, 4.719
17, 5.065
18, 4.985
19, 4.858
20, 4.834
21, 5.029
22, 5.142
23, 4.842
24, 5.21
25, 5.063
26, 5.168
27, 5.07
28, 5.046
29, 5.107
30, 5.13
31, 5.073
32, 5.212
33, 5.249
34, 5.265
35, 5.375
36, 5.152
37, 5.149
38, 5.274
39, 5.566
40, 5.46
41, 5.3
42, 5.417
43, 5.172
44, 5.155
45, 5.272
46, 5.266
47, 5.519
48, 5.296
49, 5.235
